127.0.0.1 - - [23/Sep/2021:09:04:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:04:35 +0700] "GET /JavaWe/login HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:04:35 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:04:41 +0700] "POST /JavaWe/login HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:04:47 +0700] "POST /JavaWe/login HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:04:47 +0700] "POST /JavaWe/login HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:05:17 +0700] "POST /JavaWe/login HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:05:22 +0700] "POST /JavaWe/login HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:05:26 +0700] "POST /JavaWe/login HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:05:30 +0700] "POST /JavaWe/login HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:05:38 +0700] "POST /JavaWe/login HTTP/1.1" 200 413
