127.0.0.1 - - [24/Mar/2022:20:19:35 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:39 +0700] "GET /Nhom3-Interior/ HTTP/1.1" 200 20268
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/bootstrap/bootstrap.min.css HTTP/1.1" 200 230914
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/css/header.css HTTP/1.1" 200 5004
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/font/fontawesome/css/all.min.css HTTP/1.1" 200 100706
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/css/index.css HTTP/1.1" 200 11183
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/bootstrap/tiny-slider.css HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/js/bootstrap.bundle.min.js HTTP/1.1" 200 112567
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/css/footer.css HTTP/1.1" 200 6289
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/js/tiny-slider.js HTTP/1.1" 200 61139
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/js/custom.js HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/user.svg HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/cart.svg HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/couch.png HTTP/1.1" 200 341001
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/product-1.png HTTP/1.1" 200 102349
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/product-2.png HTTP/1.1" 200 155825
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/cross.svg HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/product-3.png HTTP/1.1" 200 119385
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/truck.svg HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/bag.svg HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/img-grid-1.jpg HTTP/1.1" 200 1061722
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/why-choose-us-img.jpg HTTP/1.1" 200 375409
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/return.svg HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/img-grid-2.jpg HTTP/1.1" 200 194912
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/support.svg HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/img-grid-3.jpg HTTP/1.1" 200 223431
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/envelope-outline.svg HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/avatar.jpg HTTP/1.1" 200 372292
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/sofa.png HTTP/1.1" 200 269622
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:40 +0700] "GET /Nhom3-Interior/images/dots-light.svg HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:41 +0700] "GET /Nhom3-Interior/images/dots-yellow.svg HTTP/1.1" 200 4056
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:41 +0700] "GET /Nhom3-Interior/images/dots-green.svg HTTP/1.1" 200 4056
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:41 +0700] "GET /Nhom3-Interior/font/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 153660
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:41 +0700] "GET /Nhom3-Interior/font/fontawesome/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 105484
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:19:41 +0700] "GET /Nhom3-Interior/favicon.png HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:20:10 +0700] "GET /Nhom3-Interior/shop.html HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:20:11 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:20:14 +0700] "GET /Nhom3-Interior/about.html HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/ HTTP/1.1" 200 20268
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/font/fontawesome/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/bootstrap/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/js/tiny-slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/user.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/cart.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/product-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/couch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/cross.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/product-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/product-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/truck.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/bag.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/support.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/return.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/why-choose-us-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/img-grid-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/envelope-outline.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/sofa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/img-grid-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/img-grid-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/avatar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:31:54 +0700] "GET /Nhom3-Interior/images/dots-light.svg HTTP/1.1" 304 -
